year,contributions,401k_draw,tax,401k_balance,percent_drawn,monthly_spend
2025-01-01 00:00:00,0,40000,5200,1011898,0.0423908435777872,3333.3333333333335
2026-01-01 00:00:00,0,41200,5356,1024086.39,0.040715566193430565,3433.3333333333335
2027-01-01 00:00:00,0,42436,5516.68,1029821.0640499999,0.041437910330982916,3536.3333333333335
2028-01-01 00:00:00,0,43709.08,5682.1804,1034353.4428507499,0.04244337344208551,3642.4233333333336
2029-01-01 00:00:00,0,45020.3524,5852.645812000001,1037571.8690938812,0.04352511485428113,3751.6960333333336
2030-01-01 00:00:00,0,46370.962972,6028.22518636,1039357.178386975,0.04469180820456908,3864.2469143333333
2031-01-01 00:00:00,0,47762.09186116,6209.0719419508005,1039582.2453859766,0.045953492076019654,3980.1743217633334
2032-01-01 00:00:00,0,49194.9546169948,6395.344100209324,1038111.503735555,0.04732184955576042,4099.579551416234
2033-01-01 00:00:00,0,50670.803255504645,6587.204423215604,1034800.4383399606,0.04881055943718003,4222.566937958721
2034-01-01 00:00:00,0,52190.92735316978,6784.820555912072,1029495.0484045771,0.05043574144295406,4349.243946097482
